%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.type
104016000000,103,104016000000,sim_sensor,0.0,-4.68250138039,7.00032103,0.0634966597585,-2.83084731415e-06,-4.14325731124e-06,0.973281815373,-0.229613823276,
105015000000,104,105015000000,sim_sensor,0.0,-5.13198107267,6.71214236371,0.0634969956233,-6.84582927589e-07,-4.88455254147e-06,0.88361507895,-0.468214045313,
106009000000,105,106009000000,sim_sensor,0.0,-5.28833094787,6.23842791327,0.0634976152698,1.84354681581e-08,-6.66778817996e-07,0.701862546931,-0.712312407034,
107015000000,106,107015000000,sim_sensor,0.0,-5.28093888153,5.73789580828,0.0634972728668,-8.83500081821e-07,-1.13912625272e-06,0.701878247269,-0.712296936683,
108014000000,107,108014000000,sim_sensor,0.0,-5.27355528121,5.23795991016,0.0634976467461,-1.13704267011e-06,-1.12478950277e-06,0.70186228003,-0.712312670018,
109017000000,108,109017000000,sim_sensor,0.0,-5.26617081075,4.73796320705,0.0634972837688,6.92749463636e-07,-1.05252980191e-06,0.701860499082,-0.712314424834,
110016000000,109,110016000000,sim_sensor,0.0,-5.25878333335,4.2379563378,0.0634968557063,-2.30902267608e-06,-3.79804163101e-07,0.701865595445,-0.712309403226,
111016000000,110,111016000000,sim_sensor,0.0,-5.25139785941,3.73801424491,0.0634977076952,-5.8621711828e-07,-8.40959045896e-07,0.701860026584,-0.712314890398,
112021000000,111,112021000000,sim_sensor,0.0,-5.24398084923,3.23598349848,0.0634974820989,-1.65128055315e-07,-1.09415826814e-06,0.701872302331,-0.712302794617,
113017000000,112,113017000000,sim_sensor,0.0,-5.23662075983,2.73802577373,0.063497384905,-1.81248348829e-06,-1.12286677565e-06,0.701860011844,-0.712314904919,
114017000000,113,114017000000,sim_sensor,0.0,-5.22923250269,2.23805920514,0.0634976055784,9.73535631318e-08,-6.9536858365e-07,0.701857224944,-0.712317650907,
