Distance(cm),Unattenuated,Water(5cm),Concrete(5cm),Water(10cm)
43.2,3.53E-05,2.24E-05,1.36E-05,1.43E-05
43.3,3.51E-05,2.23E-05,1.35E-05,1.42E-05
43.4,3.50E-05,2.22E-05,1.35E-05,1.42E-05
43.5,3.48E-05,2.21E-05,1.34E-05,1.41E-05
43.6,3.47E-05,2.20E-05,1.33E-05,1.40E-05
43.7,3.45E-05,2.19E-05,1.33E-05,1.40E-05
43.8,3.43E-05,2.18E-05,1.32E-05,1.39E-05
43.9,3.42E-05,2.17E-05,1.31E-05,1.38E-05
44,3.40E-05,2.16E-05,1.31E-05,1.38E-05
44.1,3.39E-05,2.15E-05,1.30E-05,1.37E-05
44.2,3.37E-05,2.14E-05,1.30E-05,1.37E-05
44.3,3.36E-05,2.13E-05,1.29E-05,1.36E-05
44.4,3.34E-05,2.12E-05,1.29E-05,1.35E-05
44.5,3.33E-05,2.11E-05,1.28E-05,1.35E-05
44.6,3.31E-05,2.10E-05,1.27E-05,1.34E-05
44.7,3.30E-05,2.09E-05,1.27E-05,1.34E-05
44.8,3.28E-05,2.08E-05,1.26E-05,1.33E-05
44.9,3.27E-05,2.07E-05,1.26E-05,1.32E-05
45,3.25E-05,2.06E-05,1.25E-05,1.32E-05
45.1,3.24E-05,2.05E-05,1.25E-05,1.31E-05
45.2,3.22E-05,2.04E-05,1.24E-05,1.31E-05
45.3,3.21E-05,2.03E-05,1.23E-05,1.30E-05
45.4,3.20E-05,2.02E-05,1.23E-05,1.29E-05
45.5,3.18E-05,2.02E-05,1.22E-05,1.29E-05
45.6,3.17E-05,2.01E-05,1.22E-05,1.28E-05
45.7,3.15E-05,2.00E-05,1.21E-05,1.28E-05
45.8,3.14E-05,1.99E-05,1.21E-05,1.27E-05
45.9,3.13E-05,1.98E-05,1.20E-05,1.27E-05
46,3.11E-05,1.97E-05,1.20E-05,1.26E-05
46.1,3.10E-05,1.96E-05,1.19E-05,1.26E-05
46.2,3.09E-05,1.96E-05,1.19E-05,1.25E-05
46.3,3.07E-05,1.95E-05,1.18E-05,1.24E-05
46.4,3.06E-05,1.94E-05,1.18E-05,1.24E-05
46.5,3.05E-05,1.93E-05,1.17E-05,1.23E-05
46.6,3.03E-05,1.92E-05,1.17E-05,1.23E-05
46.7,3.02E-05,1.91E-05,1.16E-05,1.22E-05
46.8,3.01E-05,1.91E-05,1.16E-05,1.22E-05
46.9,3.00E-05,1.90E-05,1.15E-05,1.21E-05
47,2.98E-05,1.89E-05,1.15E-05,1.21E-05
47.1,2.97E-05,1.88E-05,1.14E-05,1.20E-05
47.2,2.96E-05,1.87E-05,1.14E-05,1.20E-05
47.3,2.94E-05,1.87E-05,1.13E-05,1.19E-05
47.4,2.93E-05,1.86E-05,1.13E-05,1.19E-05
47.5,2.92E-05,1.85E-05,1.12E-05,1.18E-05
47.6,2.91E-05,1.84E-05,1.12E-05,1.18E-05
47.7,2.90E-05,1.83E-05,1.11E-05,1.17E-05
47.8,2.88E-05,1.83E-05,1.11E-05,1.17E-05
47.9,2.87E-05,1.82E-05,1.10E-05,1.16E-05
48,2.86E-05,1.81E-05,1.10E-05,1.16E-05
48.1,2.85E-05,1.80E-05,1.09E-05,1.15E-05
48.2,2.84E-05,1.80E-05,1.09E-05,1.15E-05
48.3,2.82E-05,1.79E-05,1.09E-05,1.14E-05
48.4,2.81E-05,1.78E-05,1.08E-05,1.14E-05
48.5,2.80E-05,1.77E-05,1.08E-05,1.13E-05
48.6,2.79E-05,1.77E-05,1.07E-05,1.13E-05
48.7,2.78E-05,1.76E-05,1.07E-05,1.12E-05
48.8,2.77E-05,1.75E-05,1.06E-05,1.12E-05
48.9,2.76E-05,1.74E-05,1.06E-05,1.12E-05
49,2.74E-05,1.74E-05,1.05E-05,1.11E-05
49.1,2.73E-05,1.73E-05,1.05E-05,1.11E-05
49.2,2.72E-05,1.72E-05,1.05E-05,1.10E-05
49.3,2.71E-05,1.72E-05,1.04E-05,1.10E-05
49.4,2.70E-05,1.71E-05,1.04E-05,1.09E-05
49.5,2.69E-05,1.70E-05,1.03E-05,1.09E-05
49.6,2.68E-05,1.70E-05,1.03E-05,1.08E-05
49.7,2.67E-05,1.69E-05,1.03E-05,1.08E-05
49.8,2.66E-05,1.68E-05,1.02E-05,1.08E-05
49.9,2.65E-05,1.68E-05,1.02E-05,1.07E-05
50,2.64E-05,1.67E-05,1.01E-05,1.07E-05
50.1,2.62E-05,1.66E-05,1.01E-05,1.06E-05
50.2,2.61E-05,1.66E-05,1.00E-05,1.06E-05
50.3,2.60E-05,1.65E-05,1.00E-05,1.05E-05
50.4,2.59E-05,1.64E-05,9.97E-06,1.05E-05
50.5,2.58E-05,1.64E-05,9.93E-06,1.05E-05
50.6,2.57E-05,1.63E-05,9.89E-06,1.04E-05
50.7,2.56E-05,1.62E-05,9.85E-06,1.04E-05
50.8,2.55E-05,1.62E-05,9.81E-06,1.03E-05
50.9,2.54E-05,1.61E-05,9.77E-06,1.03E-05
51,2.53E-05,1.60E-05,9.73E-06,1.03E-05
51.1,2.52E-05,1.60E-05,9.70E-06,1.02E-05
51.2,2.51E-05,1.59E-05,9.66E-06,1.02E-05
51.3,2.50E-05,1.58E-05,9.62E-06,1.01E-05
51.4,2.49E-05,1.58E-05,9.58E-06,1.01E-05
51.5,2.48E-05,1.57E-05,9.54E-06,1.01E-05
51.6,2.47E-05,1.57E-05,9.51E-06,1.00E-05
51.7,2.46E-05,1.56E-05,9.47E-06,9.98E-06
51.8,2.46E-05,1.55E-05,9.43E-06,9.94E-06
51.9,2.45E-05,1.55E-05,9.40E-06,9.90E-06
52,2.44E-05,1.54E-05,9.36E-06,9.86E-06
52.1,2.43E-05,1.54E-05,9.33E-06,9.82E-06
52.2,2.42E-05,1.53E-05,9.29E-06,9.79E-06
52.3,2.41E-05,1.52E-05,9.25E-06,9.75E-06
52.4,2.40E-05,1.52E-05,9.22E-06,9.71E-06
52.5,2.39E-05,1.51E-05,9.18E-06,9.67E-06
52.6,2.38E-05,1.51E-05,9.15E-06,9.64E-06
52.7,2.37E-05,1.50E-05,9.11E-06,9.60E-06
52.8,2.36E-05,1.50E-05,9.08E-06,9.56E-06
52.9,2.35E-05,1.49E-05,9.05E-06,9.53E-06
53,2.35E-05,1.48E-05,9.01E-06,9.49E-06
53.1,2.34E-05,1.48E-05,8.98E-06,9.46E-06
53.2,2.33E-05,1.47E-05,8.94E-06,9.42E-06
53.3,2.32E-05,1.47E-05,8.91E-06,9.39E-06
53.4,2.31E-05,1.46E-05,8.88E-06,9.35E-06
53.5,2.30E-05,1.46E-05,8.84E-06,9.32E-06
53.6,2.29E-05,1.45E-05,8.81E-06,9.28E-06
53.7,2.28E-05,1.45E-05,8.78E-06,9.25E-06
53.8,2.28E-05,1.44E-05,8.74E-06,9.21E-06
53.9,2.27E-05,1.44E-05,8.71E-06,9.18E-06
54,2.26E-05,1.43E-05,8.68E-06,9.14E-06
54.1,2.25E-05,1.42E-05,8.65E-06,9.11E-06
54.2,2.24E-05,1.42E-05,8.62E-06,9.08E-06
54.3,2.23E-05,1.41E-05,8.58E-06,9.04E-06
54.4,2.23E-05,1.41E-05,8.55E-06,9.01E-06
54.5,2.22E-05,1.40E-05,8.52E-06,8.98E-06
54.6,2.21E-05,1.40E-05,8.49E-06,8.94E-06
54.7,2.20E-05,1.39E-05,8.46E-06,8.91E-06
54.8,2.19E-05,1.39E-05,8.43E-06,8.88E-06
54.9,2.19E-05,1.38E-05,8.40E-06,8.84E-06
55,2.18E-05,1.38E-05,8.37E-06,8.81E-06
55.1,2.17E-05,1.37E-05,8.34E-06,8.78E-06
55.2,2.16E-05,1.37E-05,8.31E-06,8.75E-06
55.3,2.15E-05,1.36E-05,8.28E-06,8.72E-06
55.4,2.15E-05,1.36E-05,8.25E-06,8.69E-06
55.5,2.14E-05,1.35E-05,8.22E-06,8.65E-06
55.6,2.13E-05,1.35E-05,8.19E-06,8.62E-06
55.7,2.12E-05,1.34E-05,8.16E-06,8.59E-06
55.8,2.12E-05,1.34E-05,8.13E-06,8.56E-06
55.9,2.11E-05,1.33E-05,8.10E-06,8.53E-06
56,2.10E-05,1.33E-05,8.07E-06,8.50E-06
56.1,2.09E-05,1.32E-05,8.04E-06,8.47E-06
56.2,2.09E-05,1.32E-05,8.01E-06,8.44E-06
56.3,2.08E-05,1.32E-05,7.98E-06,8.41E-06
